id,country,city,line,phase,start_year,end_year,rr,length,tunnel_pct,tunnel_km,elevated,atgrade,stations,cost_km_real,real_cost_total
7586,TW,Taichung,Green Line,Green Line,2010,2020,0,16.7,0.00,0,0,0,18,320.6,5354.6
7585,TW,Tainan,Underground Project,Underground Project,2019,2024,1,8.2,100.00,8.2,0,0,3,282.6,2317.5
9810,TW,Taipei,Neihu Line,Neihu Line,2002,2009,0,14.8,26.00,3.8,0,0,12,471.5,6977.7
9809,TW,Taipei,"System to 2012, ex-Neihu","System to 2012, ex-Neihu",1988,2012,0,93.9,65.00,60.9,0,0,92,737.2,69218.7
9811,TW,Taipei,Xinyi Line,Xinyi Line,2002,2013,0,6.5,100.00,6.5,0,0,7,618.9,4023.1
7571,TW,Taipei,Airport MRT,Airport MRT,2006,2017,0,51,21.00,10.7,0,0,22,212.3,10825.5
7570,TW,Taipei,Circular Line,Circular Line first section,2011,2020,0,15.4,7.00,1.1,0,0,14,410.0,6314.1
9812,TW,Taipei,Xinyi Line,Xinyi Line East Extension,2016,2022,0,1.4,100.00,1.4,0,0,1,537.8,752.9
7568,TW,Taipei,Sanying Line,Sanying Line,2016,2023,0,14.29,0.00,0,0,0,12,293.9,4199.8
7569,TW,Taipei,Danhai LRT,Danhai LRT,2014,2024,0,14,0.00,0,0,0,20,97.4,1363.5
7576,TW,Taipei,Taoyuan MRT Green Line,Taoyuan MRT Green Line,2019,2026,0,27.8,45.00,12.5,0,0,21,258.3,7181.5
7232,TW,Taipei,Wanda Line,Wanda Line Phase 2,2021,2028,0,13.3,21.05,2.8,0,0,13,364.2,4843.8
7578,TW,Taipei,Taoyuan Underground,Taoyuan Underground,2019,2030,1,17.9,100.00,17.9,0,0,8,391.7,7011.8
11262,TW,Taipei,Keelung MRT,Keelung MRT,2023,2032,0,16,10.00,1.6,12.8,1.6,13,176.4,2822.0
7577,TW,Taipei,Taoyuan MRT Brown Line,Taoyuan MRT Brown Line,2019,,0,11.5,0.00,0,0,0,8,140.5,1616.3
