s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,"Platform Length 
(Meters)",Source1,Cost,Currency,Year,PPP rate,Real cost,"Cost/km
 (Millions)",Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,
7115,CA,Toronto,Finch West LRT,Phase 1,2019,2025,0,10.3,0.05%,1,,17,18,50,Plan,"2,500",CAD,2019,0.84,2100,203.9,,,,,1.259947899,"2,645.9",256.9,Media,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/finch-west-light-rail-transit/,,
7109,CA,Toronto,Bloor/SSE,Scarborough,2020,2030,0,7.8,100.00%,7.8,0,0,3,,Wiki,"5,500",CAD,2018,0.84,4620,592.3,0,0,0,1,1.28277786,"5,926.4",759.8,Media,https://urbantoronto.ca/news/2020/03/metrolinxs-preliminary-business-case-scarborough-subway-extension-raises-questions,,
7111,CA,Toronto,YUS/YNSE,Yonge to Richmond Hill,2020,2030,0,7.4,100.00%,7.4,0,0,6,,Plan,"5,600",CAD,2020,0.84,4704,635.7,0,0,0,1,1.244593545,"5,854.6",791.2,Media,https://www.thestar.com/news/gta/2020/06/24/metrolinx-considering-a-route-for-the-yonge-subway-extension-to-richmond-hill-that-would-take-it-above-ground.html,,
7113,CA,Toronto,Eglinton Crosstown,Phase 1 West,2022,2031,0,9.2,73.91%,6.8,1.5,0.9,7,50,Plan,"2,500",CAD,2022,0.84,2100,228.3,,,,,1.100662897,"2,311.4",251.2,Media,"https://www.infrastructureontario.ca/en/what-we-do/projectssearch/eglinton-crosstown-west-extension/
https://www.metrolinx.com/en/projects-and-programs/eglinton-crosstown-west-extension
",,
7110,CA,Toronto,Ontario Line,Ontario,2022,2031,0,15.5,57.00%,8.8,5.76,1.06,15,,Plan,"27,200",CAD,2023,0.84,22848,1474.1,0,0,0,1,1.057145998,"24,153.7","1,558.3",Plan,https://globalnews.ca/news/10579363/ontario-line-cost-increase/,,
9762,CA,Vancouver,Millennium Line,Millennium Line Phase 1,1998,2002,0,19.9,0.00%,0,0,0,13,,Wiki,"1,200",CAD,2000,0.81,972,48.8,0,0,0,1,1.870583624,"1,818.2",91.4,Plan,https://web.archive.org/web/20181110080355/https://www.translink.ca/-/media/Documents/about_translink/corporate_overview/corporate_reports/history/translink_history_nov_2008.pdf,,
9763,CA,Vancouver,Canada Line,Canada Line,2005,2009,0,18.4,49.00%,9.1,0,0,16,,Wiki,"2,050",CAD,2007,0.82,1681,91.4,0,0,0,1,1.553541974,"2,611.5",141.9,Media,https://vancouversun.com/news/local-news/by-the-numbers-canada-line-turns-10,,
9764,CA,Vancouver,Evergreen Line,Evergreen Line,2012,2016,0,10.9,18.00%,2,0,0,6,,Wiki,"1,430",CAD,2014,0.81,1158.3,106.3,0,0,0,1,1.360648571,"1,576.0",144.6,Media,https://thebreaker.news/news/evergreen-line-costs/,,
7136,CA,Vancouver,Millennium,Broadway,2020,2027,0,5.7,87.72%,5,0.295,0.446,6,,Plan,"2,954",CAD,2018,0.84,2481.36,435.3,0,0,0,1,1.28277786,"3,183.0",558.4,Media,"https://www.translink.ca/Plans-and-Projects/Rapid-Transit-Projects/Broadway-Subway-Project.aspx
https://www2.gov.bc.ca/assets/gov/british-columbians-our-governments/government-finances/quarterly-reports/fall-2024-economic-fiscal-update.pdf",,
7102,CA,Vancouver,"
Surrey Langley SkyTrain",Planning,2024,2029,0,16,0.00%,0,1,0,8,80,Plan,"5,996",CAD,2024,1,5996,374.8,0,,,1,1,"5,996.0",374.8,Media,"https://globalnews.ca/news/10701039/surrey-langley-skytrain-cost/
https://surreylangleyskytrain.gov.bc.ca/app/uploads/sites/938/2024/12/SLS_Monthly_Status_Report_August_2024.pdf",,
